       TaskID   GiftID	GiftType   TaskType   RequestTime   TaskArrival    TT    Responsible
        181         58          5          D         81         62          2      Santa
        182         74          2          C         83         80          1       ElfA
        183         75          1          D         82         81          2      Santa
        184         77          1          C         83         83          2       ElfA
        185         78          1          C         84         84          1       ElfB
        186         74          2          D         84         80          1      Santa
        187         70          3          C         84         76          2       ElfA
        188         79          1          C         85         85          1       ElfB
        189         77          1          D         85         83          1      Santa
        190         80          1          C         86         86          1       ElfA
        191         71          3          A         77         77         11       ElfB
        192         78          1          D         85         84          2      Santa
        193         70          3          D         86         76          2      Santa
        194         82          1          C         88         88          1       ElfA
        195         71          3          C         88         77          1       ElfB
        196         79          1          D         86         85          3      Santa
        197         76          3          A         82         82          9       ElfB
        198         80          1          D         87         86          3      Santa
        199         84          1          C         90         90          1       ElfA
        200         82          1          D         89         88          2      Santa
        201         85          1          C         91         91          1       ElfA
        202         76          3          C         91         82          1       ElfB
        203         71          3          D         89         77          3      Santa
        204         86          1          C         92         92          1       ElfA
        205         81          3          A         87         87          7       ElfB
        206         84          1          D         91         90          2      Santa
        207         85          1          D         92         91          2      Santa
        208         88          1          C         94         94          1       ElfA
        209         81          3          C         94         87          1       ElfB
        210         76          3          D         92         82          3      Santa
        211         83          5          A         89         89          8       ElfB
        212         86          1          D         93         92          3      Santa
        213         88          1          D         95         94          2      Santa
        214         91          4          P         97         97          3       ElfA
        215         87          5          A         93         93          6       ElfB
        216         81          3          D         95         87          3      Santa
        217         66          5          Q         72         72         27      Santa
        218         89          5          A         95         95          6       ElfB
        219         83          5          Q         89         89         11      Santa
        220         66          5          C         99         72          2       ElfA
        221         87          5          Q         93         93          8      Santa
        222         94          1          C        100        100          2       ElfA
        223         83          5          C        100         89          2       ElfB
        224         66          5          D        101         72          1      Santa
        225         87          5          C        101         93          2       ElfA
        226         90          3          A         96         96          8       ElfB
        227         94          1          D        102        100          1      Santa
        228         96          2          P        103        103          3       ElfA
        229         83          5          D        102         89          2      Santa
        230         90          3          C        104         96          1       ElfB
        231         87          5          D        103         93          2      Santa
        232         92          3          A         98         98          9       ElfB
        233         90          3          D        105         96          1      Santa
        234         96          2          C        106        103          1       ElfA
        235         89          5          Q         95         95         12      Santa
        236         92          3          C        107         98          1       ElfA
        237         93          3          A         99         99         10       ElfB
        238         96          2          D        107        103          1      Santa
        239         89          5          C        107         95          2       ElfA
        240         92          3          D        108         98          1      Santa
        241         93          3          C        109         99          1       ElfB
        242         97          2          P        104        104          8       ElfA
        243         89          5          D        109         95          1      Santa
        244        102          1          C        110        110          1       ElfB
        245         93          3          D        110         99          1      Santa
        246        103          1          C        111        111          1       ElfB
        247        102          1          D        111        110          1      Santa
        248         97          2          C        112        104          1       ElfA
        249         95          3          A        102        102         12       ElfB
        250        103          1          D        112        111          1      Santa
        251         98          2          P        105        105         11       ElfA
        252         97          2          D        113        104          1      Santa
        253         95          3          C        114        102          1       ElfB
        254         91          4          Q         97         97         18      Santa
        255         99          5          A        107        107         10       ElfB
        256         95          3          D        115        102          1      Santa
        257         91          4          C        115         97          2       ElfA
        258         99          5          Q        107        107         10      Santa
        259         98          2          C        116        105          2       ElfA
        260        100          3          A        108        108         11       ElfB
        261         91          4          D        117         97          1      Santa
        262         99          5          C        117        107          2       ElfA
        263         98          2          D        118        105          1      Santa
        264        110          1          C        118        118          2       ElfB
        265        100          3          C        119        108          1       ElfA
        266         99          5          D        119        107          1      Santa
